yaw,pitch,roll,voltage,temperature,time
-0.83,0.11,0.17,2.38,72.38,12798
-0.83,0.11,0.17,2.38,72.38,12831
-0.84,0.11,0.17,2.38,72.56,12867
-0.84,0.11,0.17,2.38,72.38,12902
-0.84,0.11,0.17,2.38,72.38,12939
-0.83,0.11,0.17,2.37,72.56,12972
-0.83,0.11,0.17,2.37,72.56,13009
-0.83,0.11,0.17,2.38,72.56,13043
-0.83,0.11,0.17,2.38,72.56,13080
-0.83,0.11,0.17,2.38,72.38,13114
-0.83,0.11,0.17,2.38,72.38,13151
-0.83,0.11,0.17,2.38,72.38,13184
-0.83,0.11,0.17,2.38,72.56,13221
-0.83,0.11,0.17,2.38,72.38,13255
-0.83,0.10,0.17,2.38,72.38,13295
-0.83,0.10,0.17,2.38,72.38,13329
-0.83,0.11,0.17,2.37,72.38,13362
-0.83,0.10,0.17,2.39,72.56,13396
-0.83,0.11,0.17,2.37,72.38,13433
-0.83,0.11,0.17,2.38,72.56,13469
-0.83,0.11,0.17,2.39,72.56,13503
-0.83,0.11,0.17,2.38,72.56,13540
-0.83,0.10,0.17,2.38,72.56,13573
-0.83,0.11,0.17,2.37,72.56,13610
-0.83,0.11,0.17,2.38,72.56,13644
-0.83,0.11,0.17,2.38,72.38,13681
-0.83,0.11,0.17,2.38,72.56,13715
-0.83,0.11,0.16,2.42,72.56,13752
-0.83,0.10,0.20,2.40,72.56,13785
-0.85,0.10,0.12,2.34,72.38,13825
-0.86,0.11,0.03,2.41,72.38,13857
-0.91,0.13,0.01,2.34,72.56,13893
-0.92,0.12,0.11,2.34,72.56,13927
-0.82,0.09,0.18,2.36,72.38,13988
-0.78,0.08,0.14,2.38,72.38,14021
-0.80,0.07,0.10,2.43,72.74,14053
-0.85,0.04,0.13,2.41,72.56,14085
-0.87,0.01,0.17,2.39,72.38,14117
-0.85,-0.01,0.14,2.37,72.56,14150
-0.81,0.00,0.13,2.41,72.56,14182
-0.80,0.01,0.13,2.37,72.38,14213
-0.79,0.01,0.17,2.41,72.56,14246
-0.80,0.00,0.15,2.35,72.56,14282
-0.80,-0.01,0.15,2.35,71.85,14317
-0.81,-0.01,0.14,2.37,72.56,14358
-0.81,-0.01,0.14,2.37,72.56,14392
-0.80,-0.01,0.14,2.41,72.56,14426
-0.79,-0.01,0.15,2.38,72.38,14463
-0.79,-0.01,0.15,2.38,72.56,14499
-0.80,-0.03,0.14,2.43,72.56,14536
-0.80,-0.04,0.13,2.36,72.56,14573
-0.79,-0.05,0.14,2.41,72.56,14608
-0.78,-0.04,0.15,2.40,72.38,14646
