yaw,pitch,roll,voltage,temperature,time
-1.27,-0.35,-0.48,2.47,74.18,6711
-1.26,-0.34,-0.49,2.38,74.18,6748
-1.26,-0.34,-0.49,2.46,74.18,6783
-1.26,-0.34,-0.49,2.38,74.18,6820
-1.26,-0.33,-0.49,2.46,74.18,6857
-1.26,-0.33,-0.49,2.39,74.18,6892
-1.26,-0.33,-0.49,2.47,74.18,6929
-1.25,-0.33,-0.49,2.38,74.18,6966
-1.25,-0.34,-0.49,2.47,74.18,7023
-1.25,-0.34,-0.49,2.39,74.18,7063
-1.24,-0.33,-0.49,2.46,74.18,7100
-1.24,-0.33,-0.49,2.39,74.18,7137
-1.23,-0.33,-0.49,2.46,74.18,7173
-1.23,-0.33,-0.49,2.39,74.18,7210
-1.23,-0.33,-0.49,2.47,74.18,7250
-1.23,-0.33,-0.49,2.39,74.18,7287
-1.23,-0.33,-0.50,2.46,74.18,7322
-1.23,-0.33,-0.50,2.39,74.18,7359
-1.23,-0.33,-0.50,2.46,74.18,7396
-1.23,-0.33,-0.50,2.39,74.18,7432
-1.23,-0.33,-0.50,2.46,74.18,7469
-1.22,-0.33,-0.50,2.39,74.18,7505
-1.21,-0.33,-0.50,2.46,74.18,7542
-1.20,-0.32,-0.50,2.40,74.18,7578
-1.20,-0.32,-0.50,2.46,74.18,7614
-1.20,-0.32,-0.50,2.39,74.18,7651
-1.20,-0.31,-0.51,2.46,74.18,7688
-1.20,-0.32,-0.51,2.39,74.18,7724
-1.20,-0.32,-0.51,2.46,74.18,7761
-1.20,-0.31,-0.51,2.39,74.18,7801
-1.20,-0.31,-0.51,2.46,74.18,7837
-1.20,-0.31,-0.51,2.38,74.18,7873
-1.19,-0.31,-0.51,2.46,74.18,7910
-1.19,-0.31,-0.51,2.38,74.18,7948
-1.18,-0.31,-0.50,2.46,74.18,7983
-1.18,-0.31,-0.50,2.38,74.18,8020
-1.18,-0.31,-0.50,2.46,74.18,8058
-1.17,-0.31,-0.50,2.38,74.18,8092
-1.17,-0.31,-0.50,2.46,74.18,8129
-1.17,-0.31,-0.50,2.39,74.18,8165
-1.17,-0.32,-0.50,2.47,74.18,8202
-1.17,-0.32,-0.50,2.39,74.18,8239
-1.16,-0.32,-0.50,2.46,74.18,8275
-1.16,-0.32,-0.50,2.39,74.18,8312
-1.16,-0.32,-0.50,2.47,74.18,8345
-1.16,-0.32,-0.50,2.39,74.18,8382
-1.16,-0.32,-0.50,2.47,74.18,8419
-1.16,-0.32,-0.50,2.39,74.18,8455
-1.15,-0.32,-0.49,2.47,74.18,8492
-1.15,-0.32,-0.49,2.39,74.18,8529
-1.15,-0.31,-0.49,2.46,74.18,8564
-1.15,-0.32,-0.50,2.39,74.18,8601
-1.15,-0.32,-0.50,2.46,74.18,8638
-1.15,-0.32,-0.50,2.39,74.18,8674
-1.15,-0.32,-0.50,2.46,74.18,8711
-1.15,-0.31,-0.50,2.39,74.18,8747
-1.15,-0.31,-0.51,2.47,74.18,8784
-1.15,-0.31,-0.50,2.38,74.18,8820
-1.14,-0.31,-0.50,2.46,74.18,8861
-1.13,-0.31,-0.50,2.38,74.18,8896
-1.13,-0.32,-0.50,2.46,74.18,8933
-1.13,-0.31,-0.49,2.38,74.18,8971
-1.13,-0.31,-0.49,2.46,74.18,9007
-1.12,-0.31,-0.49,2.38,74.18,9043
-1.12,-0.31,-0.50,2.45,74.18,9081
-1.12,-0.31,-0.50,2.38,74.54,9116
-1.13,-0.31,-0.50,2.46,74.00,9153
-1.13,-0.31,-0.50,2.38,74.18,9190
-1.13,-0.31,-0.50,2.46,74.18,9226
-1.13,-0.31,-0.50,2.38,74.18,9263
-1.12,-0.31,-0.49,2.46,74.18,9298
