voltage,current,airspeed,throttle, ms
329,0,555,990,24210
329,0,556,984,24246
329,0,555,983,24282
329,0,556,983,24317
329,0,556,983,24353
329,0,556,984,24390
329,0,555,990,24426
329,0,556,983,24462
329,0,555,983,24498
329,0,556,983,24534
329,0,556,983,24569
329,0,556,984,24606
329,0,556,983,24642
329,0,556,984,24678
329,0,556,983,24714
329,0,556,984,24750
329,0,556,983,24785
329,0,556,983,24822
329,0,556,983,24858
329,0,556,984,24894
329,0,556,983,24930
329,0,556,983,24966
329,0,555,984,25001
329,0,556,983,25038
329,0,556,984,25074
329,0,555,984,25110
329,0,556,984,25146
329,0,555,983,25182
329,0,555,983,25218
329,0,556,983,25254
329,0,555,984,25290
329,0,556,984,25326
329,0,555,984,25362
329,0,555,983,25398
329,0,556,984,25434
329,0,556,984,25470
329,0,555,984,25506
329,0,556,984,25542
329,0,555,984,25578
329,0,556,983,25614
329,0,555,984,25650
329,0,556,983,25687
329,0,556,983,25722
329,0,556,983,25758
329,0,556,983,25794
329,0,556,983,25830
329,0,555,983,25866
329,0,556,984,25903
329,0,556,983,25938
329,0,556,983,25974
329,0,556,984,26010
329,0,555,984,26046
329,0,555,983,26082
329,0,556,984,26119
329,0,555,983,26155
329,0,556,984,26190
329,0,556,983,26226
329,0,556,984,26262
329,0,556,983,26298
329,0,556,984,26335
329,0,556,983,26371
329,0,556,983,26406
329,0,556,983,26442
329,0,555,984,26478
329,0,556,984,26514
329,0,556,984,26551
329,0,556,983,26587
329,0,556,983,26622
329,0,556,984,26658
329,0,556,983,26694
329,0,556,983,26730
329,0,555,984,26767
329,0,556,984,26803
329,0,556,984,26839
329,0,555,983,26874
329,0,556,983,26910
329,0,556,984,26946
329,0,556,983,26983
329,0,556,983,27019
329,0,556,984,27055
329,0,555,984,27090
329,0,556,984,27126
329,0,556,983,27162
329,0,556,984,27199
329,0,556,983,27235
329,0,556,990,27271
329,0,555,983,27307
329,0,556,983,27342
329,0,556,984,27378
329,0,556,984,27414
329,0,556,984,27451
329,0,555,990,27487
329,0,556,984,27523
329,0,556,983,27558
329,0,556,984,27594
329,0,556,984,27630
329,0,556,983,27667
329,0,556,989,27703
329,0,556,984,27739
329,0,556,983,27774
329,0,556,984,27810
329,0,556,983,27846
329,0,556,983,27883
329,0,556,984,27919
329,0,556,983,27955
329,0,556,984,27991
329,0,556,984,28026
329,0,556,984,28062
329,0,556,983,28099
329,0,556,983,28135
329,0,556,983,28171
329,0,556,983,28207
329,0,556,984,28242
329,0,556,984,28278
329,0,556,983,28315
329,0,556,984,28351
329,0,556,984,28387
329,0,556,983,28423
329,0,556,983,28459
329,0,555,984,28494
329,0,556,983,28531
329,0,556,984,28567
329,0,556,984,28603
329,0,555,984,28639
329,0,556,984,28675
329,0,556,984,28710
329,0,556,984,28747
329,0,556,984,28783
329,0,556,984,28819
329,0,556,983,28855
329,0,556,984,28891
329,0,556,984,28926
329,0,556,984,28963
329,0,556,984,28999
329,0,555,984,29035
329,0,556,984,29071
329,0,556,983,29107
329,0,556,983,29143
329,0,556,983,29179
329,0,556,984,29215
329,0,556,984,29251
329,0,556,983,29287
329,0,555,983,29323
329,0,556,983,29359
329,0,556,983,29395
329,0,555,983,29431
329,0,556,984,29467
329,0,556,983,29503
329,0,556,983,29539
329,0,555,983,29575
329,0,556,983,29612
329,0,555,983,29647
329,0,556,983,29683
329,0,555,983,29719
329,0,556,983,29755
329,0,556,984,29791
329,0,556,984,29828
329,0,556,984,29863
329,0,556,984,29899
329,0,556,983,29935
329,0,556,984,29971
329,0,556,984,30007
329,0,556,984,30044
329,0,556,984,30080
329,0,556,984,30115
329,0,556,984,30151
329,0,556,984,30187
329,0,556,983,30223
329,0,556,983,30260
329,0,556,983,30296
329,0,556,983,30331
329,0,556,983,30367
329,0,556,984,30403
329,0,556,984,30439
329,0,556,983,30476
329,0,555,984,30512
329,0,556,989,30547
329,0,555,983,30583
329,0,555,983,30619
329,0,557,984,30655
329,0,556,984,30691
329,0,556,984,30728
329,0,556,990,30764
329,0,556,983,30799
329,0,556,984,30835
329,0,556,983,30871
329,0,556,983,30907
329,0,556,983,30944
329,0,556,990,30980
329,0,556,983,31015
329,0,555,983,31051
329,0,556,984,31087
329,0,556,983,31123
329,0,556,983,31160
329,0,556,984,31196
329,0,556,983,31232
329,0,556,983,31267
329,0,555,984,31303
329,0,556,983,31339
329,0,556,983,31376
329,0,555,984,31412
329,0,555,983,31448
329,0,555,984,31483
329,0,555,984,31519
329,0,556,983,31555
329,0,555,983,31592
329,0,556,983,31628
329,0,556,984,31664
329,0,556,983,31699
329,0,556,983,31735
329,0,556,984,31771
329,0,556,984,31808
329,0,556,983,31844
329,0,556,984,31880
329,0,556,983,31916
329,0,556,983,31951
329,0,556,984,31987
329,0,555,983,32024
329,0,556,984,32060
329,0,556,984,32096
329,0,556,984,32132
329,0,556,984,32167
329,0,556,984,32203
329,0,556,983,32240
329,0,556,984,32276
329,0,556,984,32312
329,0,556,984,32348
329,0,555,983,32384
329,0,556,984,32419
329,0,556,983,32456
329,0,555,984,32492
329,0,555,984,32528
329,0,555,983,32564
329,0,555,983,32600
329,0,556,984,32635
329,0,555,984,32672
329,0,556,983,32708
329,0,556,984,32744
329,0,556,984,32780
329,0,556,983,32816
329,0,556,984,32851
329,0,556,984,32888
329,0,556,983,32924
329,0,556,984,32960
329,0,556,984,32996
329,0,556,984,33032
329,0,555,984,33068
329,0,556,983,33104
329,0,556,984,33140
329,0,556,984,33176
329,0,556,983,33212
329,0,555,983,33248
329,0,556,983,33284
329,0,556,984,33320
329,0,556,984,33356
329,0,556,983,33392
329,0,556,984,33428
329,0,555,984,33464
329,0,555,983,33500
329,0,555,983,33537
329,0,555,983,33572
329,0,556,983,33608
329,0,556,984,33644
329,0,556,983,33680
329,0,556,983,33716
329,0,555,983,33752
329,0,555,983,33788
329,0,555,990,33824
329,0,556,984,33860
329,0,555,983,33896
329,0,556,984,33932
329,0,556,983,33968
329,0,556,984,34004
329,0,556,990,34040
329,0,556,984,34076
329,0,556,984,34112
329,0,555,983,34148
329,0,556,983,34184
329,0,555,983,34221
329,0,556,990,34256
329,0,556,983,34292
329,0,556,983,34328
329,0,555,983,34364
329,0,555,984,34400
329,0,555,983,34437
329,0,555,984,34472
329,0,556,984,34508
329,0,555,983,34544
329,0,556,984,34580
329,0,556,983,34616
329,0,556,984,34653
329,0,556,983,34689
329,0,555,984,34724
329,0,555,984,34760
329,0,556,984,34850
329,0,555,984,34886
329,0,555,983,34922
329,0,555,983,34959
329,0,556,984,34995
329,0,556,983,35031
329,0,555,984,35066
329,0,555,983,35102
329,0,556,984,35138
329,0,555,983,35175
329,0,555,983,35211
329,0,556,986,35247
329,0,556,984,35282
329,0,556,984,35318
329,0,556,984,35354
329,0,556,984,35390
329,0,555,983,35427
329,0,555,989,35463
329,0,555,983,35499
329,0,555,984,35534
329,0,555,984,35570
329,0,556,983,35606
329,0,556,984,35643
329,0,555,990,35679
329,0,555,983,35715
329,0,556,983,35750
329,0,556,984,35786
329,0,555,983,35822
329,0,556,983,35859
329,0,556,988,35895
329,0,555,983,35931
329,0,555,983,35966
329,0,556,984,36002
329,0,556,984,36038
329,0,556,984,36075
329,0,556,984,36111
329,0,556,984,36147
329,0,556,984,36183
329,0,555,983,36218
329,0,556,983,36254
329,0,556,984,36291
329,0,556,984,36327
329,0,555,983,36363
329,0,556,984,36399
329,0,555,984,36434
329,0,555,983,36470
329,0,555,984,36507
329,0,555,984,36543
329,0,555,984,36579
329,0,556,984,36615
329,0,555,983,36651
329,0,556,983,36686
329,0,555,984,36723
329,0,555,983,36759
329,0,555,984,36795
329,0,555,983,36831
329,0,556,984,36867
329,0,556,983,36902
329,0,555,984,36939
329,0,555,983,36975
329,0,556,983,37011
329,0,556,984,37047
329,0,556,984,37083
329,0,555,983,37118
329,0,555,984,37155
329,0,556,984,37191
329,0,556,983,37227
329,0,555,984,37263
329,0,556,984,37299
329,0,556,984,37335
329,0,555,984,37371
329,0,556,983,37407
